observation,data_marking,statistical_unit_eng,statistical_unit_cym,measure_type_eng,measure_type_cym,observation_type,empty,obs_type_value,unit_multiplier,unit_of_measure_eng,unit_of_measure_cym,confidentuality,empty1,geographic_area,empty2,empty3,time_dim_item_id,time_dim_item_label_eng,time_dim_item_label_cym,time_type,empty4,statistical_population_id,statistical_population_label_eng,statistical_population_label_cym,cdid,cdiddescrip,empty5,empty6,empty7,empty8,empty9,empty10,empty11,empty12,dim_id_1,dimension_label_eng_1,dimension_label_cym_1,dim_item_id_1,dimension_item_label_eng_1,dimension_item_label_cym_1,is_total_1,is_sub_total_1
40.66723563793592,,,,,,,,,,,,,,Bedfordshire,,,2016,2016,,Year,,,,,,,,,,,,,0,,Type of Travel,Type of Travel,,Holiday,Holiday,,,
107.09155053616725,,,,,,,,,,,,,,Bedfordshire,,,2016,2016,,Year,,,,,,,,,,,,,0,,Type of Travel,Type of Travel,,Business,Business,,,
140.58324482898732,,,,,,,,,,,,,,Berkshire,,,2016,2016,,Year,,,,,,,,,,,,,0,,Type of Travel,Type of Travel,,Holiday,Holiday,,,
220.02494484827182,,,,,,,,,,,,,,Berkshire,,,2016,2016,,Year,,,,,,,,,,,,,0,,Type of Travel,Type of Travel,,Business,Business,,,
167.13377208201604,,,,,,,,,,,,,,Bristol UA,,,2016,2016,,Year,,,,,,,,,,,,,0,,Type of Travel,Type of Travel,,Holiday,Holiday,,,
186.69509772187934,,,,,,,,,,,,,,Bristol UA,,,2016,2016,,Year,,,,,,,,,,,,,0,,Type of Travel,Type of Travel,,Business,Business,,,
53.43973600160848,,,,,,,,,,,,,,Buckinghamshire,,,2016,2016,,Year,,,,,,,,,,,,,0,,Type of Travel,Type of Travel,,Holiday,Holiday,,,
129.3959346086055,,,,,,,,,,,,,,Buckinghamshire,,,2016,2016,,Year,,,,,,,,,,,,,0,,Type of Travel,Type of Travel,,Business,Business,,,
190.991146504968,,,,,,,,,,,,,,Cambridgeshire,,,2016,2016,,Year,,,,,,,,,,,,,0,,Type of Travel,Type of Travel,,Holiday,Holiday,,,
188.54399455770363,,,,,,,,,,,,,,Cambridgeshire,,,2016,2016,,Year,,,,,,,,,,,,,0,,Type of Travel,Type of Travel,,Business,Business,,,
75.91507317646344,,,,,,,,,,,,,,Cheshire,,,2016,2016,,Year,,,,,,,,,,,,,0,,Type of Travel,Type of Travel,,Holiday,Holiday,,,
98.03502131376472,,,,,,,,,,,,,,Cheshire,,,2016,2016,,Year,,,,,,,,,,,,,0,,Type of Travel,Type of Travel,,Business,Business,,,
223.90315150605497,,,,,,,,,,,,,,Cornwall,,,2016,2016,,Year,,,,,,,,,,,,,0,,Type of Travel,Type of Travel,,Holiday,Holiday,,,
16.4046123621587,,,,,,,,,,,,,,Cornwall,,,2016,2016,,Year,,,,,,,,,,,,,0,,Type of Travel,Type of Travel,,Business,Business,,,
158.2576343537235,,,,,,,,,,,,,,Cumbria,,,2016,2016,,Year,,,,,,,,,,,,,0,,Type of Travel,Type of Travel,,Holiday,Holiday,,,
30.599607654979543,,,,,,,,,,,,,,Cumbria,,,2016,2016,,Year,,,,,,,,,,,,,0,,Type of Travel,Type of Travel,,Business,Business,,,
36.53579712495979,,,,,,,,,,,,,,Derbyshire,,,2016,2016,,Year,,,,,,,,,,,,,0,,Type of Travel,Type of Travel,,Holiday,Holiday,,,
77.62449813754492,,,,,,,,,,,,,,Derbyshire,,,2016,2016,,Year,,,,,,,,,,,,,0,,Type of Travel,Type of Travel,,Business,Business,,,
202.39434645881448,,,,,,,,,,,,,,Devon,,,2016,2016,,Year,,,,,,,,,,,,,0,,Type of Travel,Type of Travel,,Holiday,Holiday,,,
54.75429771738437,,,,,,,,,,,,,,Devon,,,2016,2016,,Year,,,,,,,,,,,,,0,,Type of Travel,Type of Travel,,Business,Business,,,
160.52610903089507,,,,,,,,,,,,,,Dorset,,,2016,2016,,Year,,,,,,,,,,,,,0,,Type of Travel,Type of Travel,,Holiday,Holiday,,,
41.58233821580089,,,,,,,,,,,,,,Dorset,,,2016,2016,,Year,,,,,,,,,,,,,0,,Type of Travel,Type of Travel,,Business,Business,,,
25.31337974765207,,,,,,,,,,,,,,Durham,,,2016,2016,,Year,,,,,,,,,,,,,0,,Type of Travel,Type of Travel,,Holiday,Holiday,,,
18.748617397801866,,,,,,,,,,,,,,Durham,,,2016,2016,,Year,,,,,,,,,,,,,0,,Type of Travel,Type of Travel,,Business,Business,,,
345.2010749258771,,,,,,,,,,,,,,East Sussex,,,2016,2016,,Year,,,,,,,,,,,,,0,,Type of Travel,Type of Travel,,Holiday,Holiday,,,
71.8827841068298,,,,,,,,,,,,,,East Sussex,,,2016,2016,,Year,,,,,,,,,,,,,0,,Type of Travel,Type of Travel,,Business,Business,,,
7.400248852407955,,,,,,,,,,,,,,East Yorkshire,,,2016,2016,,Year,,,,,,,,,,,,,0,,Type of Travel,Type of Travel,,Holiday,Holiday,,,
5.781450522075542,,,,,,,,,,,,,,East Yorkshire,,,2016,2016,,Year,,,,,,,,,,,,,0,,Type of Travel,Type of Travel,,Business,Business,,,
93.20679389413004,,,,,,,,,,,,,,Essex,,,2016,2016,,Year,,,,,,,,,,,,,0,,Type of Travel,Type of Travel,,Holiday,Holiday,,,
147.539513697295,,,,,,,,,,,,,,Essex,,,2016,2016,,Year,,,,,,,,,,,,,0,,Type of Travel,Type of Travel,,Business,Business,,,
133.91506138001773,,,,,,,,,,,,,,Gloucestershire,,,2016,2016,,Year,,,,,,,,,,,,,0,,Type of Travel,Type of Travel,,Holiday,Holiday,,,
45.26960646025713,,,,,,,,,,,,,,Gloucestershire,,,2016,2016,,Year,,,,,,,,,,,,,0,,Type of Travel,Type of Travel,,Business,Business,,,
207.68019627069032,,,,,,,,,,,,,,Hampshire,,,2016,2016,,Year,,,,,,,,,,,,,0,,Type of Travel,Type of Travel,,Holiday,Holiday,,,
171.56802559956142,,,,,,,,,,,,,,Hampshire,,,2016,2016,,Year,,,,,,,,,,,,,0,,Type of Travel,Type of Travel,,Business,Business,,,
36.21687472410699,,,,,,,,,,,,,,Hereford/Worcs,,,2016,2016,,Year,,,,,,,,,,,,,0,,Type of Travel,Type of Travel,,Holiday,Holiday,,,
54.72395037516953,,,,,,,,,,,,,,Hereford/Worcs,,,2016,2016,,Year,,,,,,,,,,,,,0,,Type of Travel,Type of Travel,,Business,Business,,,
112.27204790821595,,,,,,,,,,,,,,Hertfordshire,,,2016,2016,,Year,,,,,,,,,,,,,0,,Type of Travel,Type of Travel,,Holiday,Holiday,,,
116.94480469961985,,,,,,,,,,,,,,Hertfordshire,,,2016,2016,,Year,,,,,,,,,,,,,0,,Type of Travel,Type of Travel,,Business,Business,,,
9.913142085059812,,,,,,,,,,,,,,Hull UA,,,2016,2016,,Year,,,,,,,,,,,,,0,,Type of Travel,Type of Travel,,Holiday,Holiday,,,
33.23094932013282,,,,,,,,,,,,,,Hull UA,,,2016,2016,,Year,,,,,,,,,,,,,0,,Type of Travel,Type of Travel,,Business,Business,,,
10.66222402293214,,,,,,,,,,,,,,Isle of Wight,,,2016,2016,,Year,,,,,,,,,,,,,0,,Type of Travel,Type of Travel,,Holiday,Holiday,,,
3.6235098766751426,,,,,,,,,,,,,,Isle of Wight,,,2016,2016,,Year,,,,,,,,,,,,,0,,Type of Travel,Type of Travel,,Business,Business,,,
342.04305909265383,,,,,,,,,,,,,,Kent,,,2016,2016,,Year,,,,,,,,,,,,,0,,Type of Travel,Type of Travel,,Holiday,Holiday,,,
361.5336001182467,,,,,,,,,,,,,,Kent,,,2016,2016,,Year,,,,,,,,,,,,,0,,Type of Travel,Type of Travel,,Business,Business,,,
83.55680439623683,,,,,,,,,,,,,,Lancashire,,,2016,2016,,Year,,,,,,,,,,,,,0,,Type of Travel,Type of Travel,,Holiday,Holiday,,,
66.02532068052001,,,,,,,,,,,,,,Lancashire,,,2016,2016,,Year,,,,,,,,,,,,,0,,Type of Travel,Type of Travel,,Business,Business,,,
45.78688063822594,,,,,,,,,,,,,,Leicestershire,,,2016,2016,,Year,,,,,,,,,,,,,0,,Type of Travel,Type of Travel,,Holiday,Holiday,,,
135.2747702156085,,,,,,,,,,,,,,Leicestershire,,,2016,2016,,Year,,,,,,,,,,,,,0,,Type of Travel,Type of Travel,,Business,Business,,,
20.4595836695045,,,,,,,,,,,,,,Lincolnshire,,,2016,2016,,Year,,,,,,,,,,,,,0,,Type of Travel,Type of Travel,,Holiday,Holiday,,,
77.0596806767431,,,,,,,,,,,,,,Lincolnshire,,,2016,2016,,Year,,,,,,,,,,,,,0,,Type of Travel,Type of Travel,,Business,Business,,,
9325.486307399138,,,,,,,,,,,,,,London,,,2016,2016,,Year,,,,,,,,,,,,,0,,Type of Travel,Type of Travel,,Holiday,Holiday,,,
3620.363388696286,,,,,,,,,,,,,,London,,,2016,2016,,Year,,,,,,,,,,,,,0,,Type of Travel,Type of Travel,,Business,Business,,,
295.00998786158397,,,,,,,,,,,,,,Greater Manchester,,,2016,2016,,Year,,,,,,,,,,,,,0,,Type of Travel,Type of Travel,,Holiday,Holiday,,,
428.09189675390587,,,,,,,,,,,,,,Greater Manchester,,,2016,2016,,Year,,,,,,,,,,,,,0,,Type of Travel,Type of Travel,,Business,Business,,,
243.47196814030337,,,,,,,,,,,,,,Merseyside,,,2016,2016,,Year,,,,,,,,,,,,,0,,Type of Travel,Type of Travel,,Holiday,Holiday,,,
201.357431796846,,,,,,,,,,,,,,Merseyside,,,2016,2016,,Year,,,,,,,,,,,,,0,,Type of Travel,Type of Travel,,Business,Business,,,
36.45642861100141,,,,,,,,,,,,,,Norfolk,,,2016,2016,,Year,,,,,,,,,,,,,0,,Type of Travel,Type of Travel,,Holiday,Holiday,,,
41.30043525271885,,,,,,,,,,,,,,Norfolk,,,2016,2016,,Year,,,,,,,,,,,,,0,,Type of Travel,Type of Travel,,Business,Business,,,
27.48119694564296,,,,,,,,,,,,,,Northamptonshire,,,2016,2016,,Year,,,,,,,,,,,,,0,,Type of Travel,Type of Travel,,Holiday,Holiday,,,
118.04121186236672,,,,,,,,,,,,,,Northamptonshire,,,2016,2016,,Year,,,,,,,,,,,,,0,,Type of Travel,Type of Travel,,Business,Business,,,
21.329731647868407,,,,,,,,,,,,,,Northumberland,,,2016,2016,,Year,,,,,,,,,,,,,0,,Type of Travel,Type of Travel,,Holiday,Holiday,,,
5.7192851717719595,,,,,,,,,,,,,,Northumberland,,,2016,2016,,Year,,,,,,,,,,,,,0,,Type of Travel,Type of Travel,,Business,Business,,,
185.2904131321879,,,,,,,,,,,,,,North Yorkshire,,,2016,2016,,Year,,,,,,,,,,,,,0,,Type of Travel,Type of Travel,,Holiday,Holiday,,,
52.84751377647751,,,,,,,,,,,,,,North Yorkshire,,,2016,2016,,Year,,,,,,,,,,,,,0,,Type of Travel,Type of Travel,,Business,Business,,,
56.6943174978981,,,,,,,,,,,,,,Nottinghamshire,,,2016,2016,,Year,,,,,,,,,,,,,0,,Type of Travel,Type of Travel,,Holiday,Holiday,,,
120.56015539491631,,,,,,,,,,,,,,Nottinghamshire,,,2016,2016,,Year,,,,,,,,,,,,,0,,Type of Travel,Type of Travel,,Business,Business,,,
277.9523568451679,,,,,,,,,,,,,,Oxfordshire,,,2016,2016,,Year,,,,,,,,,,,,,0,,Type of Travel,Type of Travel,,Holiday,Holiday,,,
157.20633473760867,,,,,,,,,,,,,,Oxfordshire,,,2016,2016,,Year,,,,,,,,,,,,,0,,Type of Travel,Type of Travel,,Business,Business,,,
31.646875689729452,,,,,,,,,,,,,,Shropshire,,,2016,2016,,Year,,,,,,,,,,,,,0,,Type of Travel,Type of Travel,,Holiday,Holiday,,,
25.291203186112536,,,,,,,,,,,,,,Shropshire,,,2016,2016,,Year,,,,,,,,,,,,,0,,Type of Travel,Type of Travel,,Business,Business,,,
265.1524987588866,,,,,,,,,,,,,,Somerset,,,2016,2016,,Year,,,,,,,,,,,,,0,,Type of Travel,Type of Travel,,Holiday,Holiday,,,
58.30192531611383,,,,,,,,,,,,,,Somerset,,,2016,2016,,Year,,,,,,,,,,,,,0,,Type of Travel,Type of Travel,,Business,Business,,,
47.37897635760145,,,,,,,,,,,,,,South Yorkshire,,,2016,2016,,Year,,,,,,,,,,,,,0,,Type of Travel,Type of Travel,,Holiday,Holiday,,,
93.51587046252628,,,,,,,,,,,,,,South Yorkshire,,,2016,2016,,Year,,,,,,,,,,,,,0,,Type of Travel,Type of Travel,,Business,Business,,,
39.04498808444504,,,,,,,,,,,,,,Staffordshire,,,2016,2016,,Year,,,,,,,,,,,,,0,,Type of Travel,Type of Travel,,Holiday,Holiday,,,
43.44291183400196,,,,,,,,,,,,,,Staffordshire,,,2016,2016,,Year,,,,,,,,,,,,,0,,Type of Travel,Type of Travel,,Business,Business,,,
127.19444158227803,,,,,,,,,,,,,,Surrey,,,2016,2016,,Year,,,,,,,,,,,,,0,,Type of Travel,Type of Travel,,Holiday,Holiday,,,
117.19765992648097,,,,,,,,,,,,,,Surrey,,,2016,2016,,Year,,,,,,,,,,,,,0,,Type of Travel,Type of Travel,,Business,Business,,,
52.245791741016085,,,,,,,,,,,,,,Suffolk,,,2016,2016,,Year,,,,,,,,,,,,,0,,Type of Travel,Type of Travel,,Holiday,Holiday,,,
70.11535608277964,,,,,,,,,,,,,,Suffolk,,,2016,2016,,Year,,,,,,,,,,,,,0,,Type of Travel,Type of Travel,,Business,Business,,,
12.138545379028557,,,,,,,,,,,,,,Tees Valley,,,2016,2016,,Year,,,,,,,,,,,,,0,,Type of Travel,Type of Travel,,Holiday,Holiday,,,
15.232185406673636,,,,,,,,,,,,,,Tees Valley,,,2016,2016,,Year,,,,,,,,,,,,,0,,Type of Travel,Type of Travel,,Business,Business,,,
89.75002554567182,,,,,,,,,,,,,,Tyne & Wear,,,2016,2016,,Year,,,,,,,,,,,,,0,,Type of Travel,Type of Travel,,Holiday,Holiday,,,
125.53546719664642,,,,,,,,,,,,,,Tyne & Wear,,,2016,2016,,Year,,,,,,,,,,,,,0,,Type of Travel,Type of Travel,,Business,Business,,,
78.60564742445307,,,,,,,,,,,,,,Warwickshire,,,2016,2016,,Year,,,,,,,,,,,,,0,,Type of Travel,Type of Travel,,Holiday,Holiday,,,
82.23523789399337,,,,,,,,,,,,,,Warwickshire,,,2016,2016,,Year,,,,,,,,,,,,,0,,Type of Travel,Type of Travel,,Business,Business,,,
208.76282167732475,,,,,,,,,,,,,,West Midlands,,,2016,2016,,Year,,,,,,,,,,,,,0,,Type of Travel,Type of Travel,,Holiday,Holiday,,,
696.5578507378102,,,,,,,,,,,,,,West Midlands,,,2016,2016,,Year,,,,,,,,,,,,,0,,Type of Travel,Type of Travel,,Business,Business,,,
